"stato" "pil_18" "pop_18" "edu_18" "media_co2_18" "gas_serra_pro_capite_18" "protezione_ambiente_18" "tasse_ambiente_18" "riciclo" "energie_rinnovabili_18"
"1" "AT" 43610 8822267 85.3 123 9.2 12461.4 2.28 57.7 33.784
"2" "BE" 40260 11398589 78.2 119.4 10.8 14955.5 2.7 54.4 9.472
"3" "BG" 8000 7050034 82.6 126.7 8.3 711.7 2.62 31.5 20.581
"4" "CY" 24840 864236 82.2 123.4 11.3 310.1 2.93 16.5 13.873
"5" "CZ" 19850 10610055 93.9 126 12.3 5775.1 1.96 32.2 15.14
"6" "DE" 40620 82792351 86.6 129.5 10.7 72546 1.77 67.1 16.66
"7" "DK" 52180 5781190 81.1 109.6 8.8 5998.3 3.62 49.9 35.16
"8" "EE" 19570 1319133 89.2 132.4 15.4 615.4 2.75 28 29.97
"9" "EL" 16730 10741165 73.6 111.4 9 2186.8 3.8 20.1 18.001
"10" "ES" 25750 46658447 60.1 118.1 7.5 19284.3 1.83 34.8 17.023
"11" "FI" 42320 5513130 89.2 116.7 10.7 3767 2.93 42.3 41.182
"12" "FR" 35070 67026224 79.4 112.2 6.9 45249.8 2.37 45.1 16.384
"13" "HR" 12880 4105493 85.1 115.3 5.9 1214.9 3.52 25.3 28.047
"14" "HU" 13920 9778371 84.9 127.9 6.7 2305.8 2.27 37.4 12.549
"15" "IE" 67080 4830392 83.2 113.3 13.5 2099.6 1.57 37.6 10.942
"16" "IS" 63070 348450 78 116.8 17.3 375.1 2.11 0 77.173
"17" "IT" 29580 60483973 61.7 115.9 7.3 32511.8 3.31 49.8 17.796
"18" "LT" 16250 2808901 94.8 128.6 7.3 643.7 1.98 52.5 24.695
"19" "LU" 99150 602005 78.6 131.4 20.4 621.9 1.7 49 8.942
"20" "LV" 15130 1934379 90.7 128.8 6.1 504.9 3.37 25.2 40.019
"21" "MT" 26730 475701 55 107.7 5.2 169.3 2.48 10.4 7.914
"22" "NL" 44920 17181084 79 105.5 11.5 19366.2 3.34 55.9 7.394
"23" "PL" 12960 37976687 92.4 129.8 10.9 9217.6 2.71 34.3 14.936
"24" "PT" 19950 10291027 49.8 106.1 6.9 2935.7 2.57 29.1 30.203
"25" "RO" 10500 19533481 78.5 121.5 6.1 1677.7 1.97 11.1 23.875
"26" "SE" 46260 10120242 85.6 122.2 5.4 9743.8 2.09 45.8 53.916
"27" "SI" 22140 2066880 88.1 120.9 8.5 923.9 3.4 58.9 21.378
"28" "SK" 16420 5443120 91.7 127.6 7.8 1536.2 2.46 36.3 11.896
